"id","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Label"
42659,4,1,2,1,"Co-worker","Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",25,7,100,"Slavery","Dubai"
508149,4,3,5,2,"Co-worker","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>4,Economic=>5",20,3,4,"Wherever there is great property, there is great inequality.","Dubai"
502824,5,4,4,1,"Partner,Friends","Skyscrapers=>6,Sport=>5,Art and Music=>1,Carnival=>2,Cuisine=>4,Economic=>3",23,10,3,"The city where anything is possible","Dubai"
523028,4,3,3,3,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>1,Carnival=>2,Cuisine=>3,Economic=>5",20,10,5,"If you can think of a high building, it probably exists in Dubai.","Dubai"
313531,3,4,5,4,"Friends","Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>3,Cuisine=>2,Economic=>5",10,3,10,"Technology","Dubai"
516887,4,2,3,2,"Partner,Friends,Siblings","Skyscrapers=>5,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>4,Economic=>6",25,3,4,"Tallest building in the world.","Dubai"
526257,4,3,4,4,"Friends","Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",22,3,2,"Dubai will never settle for anything less than third place.","Dubai"
523726,3,4,3,2,"Partner,Siblings","Skyscrapers=>4,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>6,Economic=>5",25,10,5,"There is so much to discover in Dubai","Dubai"
523497,4,4,5,2,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>5,Cuisine=>3,Economic=>4",20,3,5,"City of the rich","Dubai"
505458,3,2,2,1,"Partner,Friends","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>4,Cuisine=>2,Economic=>5",5,2,2,"I barely know about this city","Dubai"
524987,5,4,5,2,"Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>4,Cuisine=>3,Economic=>5",25,5,3,"The city of the richÂ ","Dubai"
522044,5,4,5,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>4,Economic=>5",20,3,5,"There is so much to discover in Dubai","Dubai"
317274,4,3,2,3,"Friends","Skyscrapers=>6,Sport=>5,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>4",-5,1,1,"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.","Dubai"
308260,4,4,5,3,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",25,2,5,"city with the tallest skyscraper","Dubai"
633733,5,3,5,4,"Friends","Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>2,Cuisine=>3,Economic=>5",25,2,1,"the burj khalifa is the tallest building in the world","Dubai"
412772,4,3,5,1,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",20,4,3,"â€œI want you to deal with your problems by becoming rich!â€Â ","Dubai"
519806,4,3,5,2,"Friends,Siblings","Skyscrapers=>1,Sport=>6,Art and Music=>5,Carnival=>3,Cuisine=>4,Economic=>2",28,7,10,"Habibi, come to Dubai","Dubai"
495084,4,3,5,2,"Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",40,3,3,"Desert","Dubai"
500739,4,3,4,2,"Friends,Co-worker","Skyscrapers=>6,Sport=>4,Art and Music=>3,Carnival=>1,Cuisine=>2,Economic=>5",25,4,5,"A city of the future in the middle of the desert","Dubai"
393424,5,3,4,1,"Partner,Friends","Skyscrapers=>5,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>4,Economic=>6",17,5,4,"Where dreams reach new heights.","Dubai"
605738,5,4,5,3,"Partner,Friends","Skyscrapers=>5,Sport=>1,Art and Music=>4,Carnival=>3,Cuisine=>2,Economic=>6",18,3,4,"Dubai","Dubai"
