id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Label,Q6_Skyscrapers,Q6_Sport,Q6_Art and Music,Q6_Carnival,Q6_Cuisine,Q6_Economic
42659,4.0,1.0,2.0,1.0,Co-worker,"Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",25.0,7.0,20.5,Slavery,Dubai,6,4,2,1,3,5
508149,4.0,3.0,5.0,2.0,Co-worker,"Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>4,Economic=>5",20.0,3.0,4.0,"Wherever there is great property, there is great inequality.",Dubai,6,1,2,3,4,5
496935,5.0,4.0,5.0,1.0,"Partner,Friends","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>3,Cuisine=>4,Economic=>5",32.0,5.0,4.0,Futuristic land,Dubai,6,2,3,3,4,5
502824,5.0,4.0,4.0,1.0,"Partner,Friends","Skyscrapers=>6,Sport=>5,Art and Music=>1,Carnival=>2,Cuisine=>4,Economic=>3",23.0,9.5,3.0,The city where anything is possible,Dubai,6,5,1,2,4,3
523028,4.0,3.0,3.0,3.0,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>1,Carnival=>2,Cuisine=>3,Economic=>5",20.0,9.5,5.0,"If you can think of a high building, it probably exists in Dubai.",Dubai,6,4,1,2,3,5
313531,3.0,4.0,5.0,4.0,Friends,"Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>3,Cuisine=>2,Economic=>5",10.0,3.0,10.0,Technology,Dubai,6,1,4,3,2,5
516887,4.0,2.0,3.0,2.0,"Partner,Friends,Siblings","Skyscrapers=>5,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>4,Economic=>6",25.0,3.0,4.0,Tallest building in the world.,Dubai,5,1,3,2,4,6
526257,4.0,3.0,4.0,4.0,Friends,"Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",22.0,3.0,2.0,Dubai will never settle for anything less than third place.,Dubai,6,3,2,1,4,5
523726,3.0,4.0,3.0,2.0,"Partner,Siblings","Skyscrapers=>4,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>6,Economic=>5",25.0,9.5,5.0,There is so much to discover in Dubai,Dubai,4,2,3,1,6,5
523497,4.0,4.0,5.0,2.0,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>5,Cuisine=>3,Economic=>4",20.0,3.0,5.0,City of the rich,Dubai,6,1,2,5,3,4
602670,2.5,2.0,3.0,1.0,Siblings,"Skyscrapers=>5,Sport=>5,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>3",30.0,2.0,1.0,Nice,Dubai,5,5,2,1,3,3
525327,5.0,5.0,5.0,1.0,"Partner,Friends","Skyscrapers=>6,Sport=>2,Art and Music=>2,Carnival=>2,Cuisine=>3,Economic=>5",30.0,9.5,20.5,"""It was the best of times, it was the worst of times""",Dubai,6,2,2,2,3,5
505458,3.0,2.0,2.0,1.0,"Partner,Friends","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>4,Cuisine=>2,Economic=>5",5.0,2.0,2.0,I barely know about this city,Dubai,6,3,1,4,2,5
524987,5.0,4.0,5.0,2.0,Friends,"Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>4,Cuisine=>3,Economic=>5",25.0,5.0,3.0,The city of the richÂ ,Dubai,6,1,2,4,3,5
522044,5.0,4.0,5.0,5.0,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>4,Economic=>5",20.0,3.0,5.0,There is so much to discover in Dubai,Dubai,6,1,2,3,4,5
317274,4.0,3.0,2.0,3.0,Friends,"Skyscrapers=>6,Sport=>5,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>4",-5.0,1.0,1.0,"One belongs to New York instantly, one belongs to it as much in five minutes as in five years.",Dubai,6,5,2,1,3,4
492618,2.5,3.0,4.0,5.0,Partner,"Skyscrapers=>5,Sport=>2,Art and Music=>4,Carnival=>2,Cuisine=>4,Economic=>5",15.0,5.0,5.0,just keep swimming,Dubai,5,2,4,2,4,5
308260,4.0,4.0,5.0,3.0,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",25.0,2.0,5.0,city with the tallest skyscraper,Dubai,6,4,2,1,3,5
633733,5.0,3.0,5.0,4.0,Friends,"Skyscrapers=>6,Sport=>1,Art and Music=>4,Carnival=>2,Cuisine=>3,Economic=>5",25.0,2.0,1.0,the burj khalifa is the tallest building in the world,Dubai,6,1,4,2,3,5
412772,4.0,3.0,5.0,1.0,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",20.0,4.0,3.0,â€œI want you to deal with your problems by becoming rich!â€Â ,Dubai,6,3,2,1,4,5
519655,5.0,4.0,5.0,3.0,Friends,"Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>3,Economic=>6",20.0,3.0,2.0,"warm, skyscrapers, rich, sand",Dubai,6,2,3,1,3,6
519806,4.0,3.0,5.0,2.0,"Friends,Siblings","Skyscrapers=>1,Sport=>6,Art and Music=>5,Carnival=>3,Cuisine=>4,Economic=>2",28.0,7.0,10.0,"Habibi, come to Dubai",Dubai,1,6,5,3,4,2
495084,4.0,3.0,5.0,2.0,"Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",40.0,3.0,3.0,Desert,Dubai,6,4,2,1,3,5
518845,5.0,4.0,3.0,2.0,"Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>3,Art and Music=>4,Carnival=>5,Cuisine=>5,Economic=>6",20.0,4.0,4.0,"""habibi welcome to dubai""",Dubai,6,3,4,5,5,6
500739,4.0,3.0,4.0,2.0,"Friends,Co-worker","Skyscrapers=>6,Sport=>4,Art and Music=>3,Carnival=>1,Cuisine=>2,Economic=>5",25.0,4.0,5.0,A city of the future in the middle of the desert,Dubai,6,4,3,1,2,5
618077,5.0,3.0,4.0,1.0,Co-worker,"Skyscrapers=>6,Sport=>1,Art and Music=>1,Carnival=>1,Cuisine=>1,Economic=>6",10.0,1.0,1.0,Skyscrapers in the middle of nowhereÂ ,Dubai,6,1,1,1,1,6
525469,4.0,4.0,3.0,5.0,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>1,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>6,Economic=>4",55.0,5.0,2.0,"AMMAZING, SPECTACULAR!!!!!!!",Dubai,1,1,2,3,6,4
310448,3.0,4.0,5.0,5.0,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>5,Cuisine=>1,Economic=>4",24.0,5.0,6.0,money make the world go round,Dubai,6,1,2,5,1,4
492766,5.0,4.0,3.0,4.0,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>3,Cuisine=>6,Economic=>6",17.0,5.0,5.0,Black Gold,Dubai,6,3,1,3,6,6
393424,5.0,3.0,4.0,1.0,"Partner,Friends","Skyscrapers=>5,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>4,Economic=>6",17.0,5.0,4.0,Where dreams reach new heights.,Dubai,5,2,3,1,4,6
605738,5.0,4.0,5.0,3.0,"Partner,Friends","Skyscrapers=>5,Sport=>1,Art and Music=>4,Carnival=>3,Cuisine=>2,Economic=>6",18.0,3.0,4.0,Dubai,Dubai,5,1,4,3,2,6
601562,4.0,4.0,4.0,3.0,Siblings,"Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>5,Economic=>4",30.0,4.0,10.0,The food here is expensive. This is where the rich people gather.,Dubai,6,1,3,2,5,4
308262,5.0,5.0,5.0,4.0,Friends,"Skyscrapers=>6,Sport=>4,Art and Music=>1,Carnival=>2,Cuisine=>5,Economic=>3",20.0,9.5,10.0,Iâ€™m in a Dubai state of mind,Dubai,6,4,1,2,5,3
306699,4.0,3.0,4.0,4.0,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>2,Cuisine=>2,Economic=>3",10.0,3.0,5.0,"â€œWestern countries are dying, Dubai is growingâ€ Â â€”Andrew Tate",Dubai,6,1,2,2,2,3
525021,5.0,5.0,4.0,4.0,"Partner,Friends","Skyscrapers=>4,Sport=>6,Art and Music=>6,Carnival=>3,Cuisine=>2,Economic=>4",0.0,9.5,10.0,"""started from the bottom now we here""",Dubai,4,6,6,3,2,4
311267,3.0,2.0,4.0,3.0,"Partner,Friends","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>4,Cuisine=>2,Economic=>5",18.0,5.0,4.0,A city full of oil,Dubai,6,3,1,4,2,5
313448,5.0,4.0,4.0,1.0,Friends,"Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>4,Economic=>5",20.0,2.0,3.0,Modern and inclusive lifestyle.,Dubai,6,3,2,1,4,5
525853,5.0,4.0,5.0,5.0,Friends,"Skyscrapers=>6,Sport=>1,Art and Music=>1,Carnival=>6,Cuisine=>6,Economic=>6",19.0,2.0,2.0,Desert,Dubai,6,1,1,6,6,6
517764,5.0,5.0,5.0,4.0,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>4,Economic=>5",20.0,2.0,3.0,Habibi come to Dubai,Dubai,6,2,3,1,4,5
