id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Label
496935,5,4,5,1,"Partner,Friends","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>3,Cuisine=>4,Economic=>5",32,5,4,Futuristic land,Dubai
602670,2,2,3,1,Siblings,"Skyscrapers=>5,Sport=>5,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>3",30,2,1,Nice,Dubai
525327,5,5,5,1,"Partner,Friends","Skyscrapers=>6,Sport=>2,Art and Music=>2,Carnival=>2,Cuisine=>3,Economic=>5",30,50,50,"""It was the best of times, it was the worst of times""",Dubai
492618,2,3,4,5,Partner,"Skyscrapers=>5,Sport=>2,Art and Music=>4,Carnival=>2,Cuisine=>4,Economic=>5",15,5,5,just keep swimming,Dubai
519655,5,4,5,3,Friends,"Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>3,Economic=>6",20,3,2,"warm, skyscrapers, rich, sand",Dubai
518845,5,4,3,2,"Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>3,Art and Music=>4,Carnival=>5,Cuisine=>5,Economic=>6",20,4,4,"""habibi welcome to dubai""",Dubai
618077,5,3,4,1,Co-worker,"Skyscrapers=>6,Sport=>1,Art and Music=>1,Carnival=>1,Cuisine=>1,Economic=>6",10,1,1,Skyscrapers in the middle of nowhereÂ ,Dubai
525469,4,4,3,5,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>1,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>6,Economic=>4",10000,5,2,"AMMAZING, SPECTACULAR!!!!!!!",Dubai
310448,3,4,5,5,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>5,Cuisine=>1,Economic=>4",24,5,6,money make the world go round,Dubai
492766,5,4,3,4,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>3,Cuisine=>6,Economic=>6",17,5,5,Black Gold,Dubai
306699,4,3,4,4,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>2,Cuisine=>2,Economic=>3",10,3,5,"â€œWestern countries are dying, Dubai is growingâ€ Â â€”Andrew Tate",Dubai
525021,5,5,4,4,"Partner,Friends","Skyscrapers=>4,Sport=>6,Art and Music=>6,Carnival=>3,Cuisine=>2,Economic=>4",0,10,10,"""started from the bottom now we here""",Dubai
525853,5,4,5,5,Friends,"Skyscrapers=>6,Sport=>1,Art and Music=>1,Carnival=>6,Cuisine=>6,Economic=>6",19,2,2,Desert,Dubai
634513,5,5,4,1,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>2,Cuisine=>6,Economic=>6",22,6,3,"â€œDon't Gain The World & Lose Your Soul, Wisdom Is Better Than Silver Or Gold.â€
â€•Â Bob Marley",Dubai
492858,5,4,4,5,"Friends,Siblings","Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>6,Economic=>5",20,3,0,"""There is no such thing as impossible""",Dubai
602496,4,4,5,1,"Partner,Friends,Co-worker","Skyscrapers=>6,Sport=>3,Art and Music=>1,Carnival=>1,Cuisine=>2,Economic=>4",10,3,2,Skyscrapers,Dubai
209691,5,5,3,5,Partner,"Skyscrapers=>6,Sport=>5,Art and Music=>3,Carnival=>5,Cuisine=>4,Economic=>6",20,5,20,Rich,Dubai
526497,4,3,5,2,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>4,Carnival=>2,Cuisine=>4,Economic=>5",10,3,5,Come to Dubai,Dubai
523109,4,4,5,4,"Partner,Friends","Skyscrapers=>6,Sport=>3,Art and Music=>3,Carnival=>4,Cuisine=>4,Economic=>5",22,3,4,Welcome,Dubai
417866,4,2,5,1,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>4,Art and Music=>4,Carnival=>1,Cuisine=>6,Economic=>6",20,20,10,"In Dubai, we donâ€™t wait for things to happen, we make them happen.",Dubai
523628,5,4,4,4,Friends,"Skyscrapers=>6,Sport=>4,Art and Music=>3,Carnival=>3,Cuisine=>6,Economic=>6",27,4,4,"""Habibi come to Dubai""",Dubai
400581,5,5,2,2,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>2,Art and Music=>2,Carnival=>2,Cuisine=>3,Economic=>1",22,3,9,An Oasis of life,Dubai
524818,4,4,4,1,Friends,"Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>5,Cuisine=>3,Economic=>6",8,3,4,"""Money can't buy everything""",Dubai
526575,4,4,4,2,"Friends,Co-worker","Skyscrapers=>6,Sport=>3,Art and Music=>3,Carnival=>1,Cuisine=>5,Economic=>6",12,8,3,"Skyscrapers, oil companies, desert, people wearing white clothing",Dubai
526091,5,3,5,2,Partner,"Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>1,Cuisine=>4,Economic=>6",25,3,5,"Habibi
Yallah",Dubai
211158,4,2,4,4,"Partner,Friends","Skyscrapers=>6,Sport=>4,Art and Music=>2,Carnival=>2,Cuisine=>3,Economic=>6",15,3,3,There's no money like oil money.Â ,Dubai
313186,4,5,2,4,"Partner,Friends","Skyscrapers=>6,Sport=>3,Art and Music=>4,Carnival=>4,Cuisine=>4,Economic=>5",25,7,8,è¿™æ˜¯æ²™æ¼ ä¸­ä¸€åº§éžå¸¸å¯Œè£•ã€çŽ°ä»£åŒ–çš„åŸŽå¸‚ã€‚,Dubai
523824,4,1,5,1,"Partner,Friends,Co-worker","Skyscrapers=>6,Sport=>4,Art and Music=>3,Carnival=>2,Cuisine=>2,Economic=>6",28,3,4,"""Dubai is soulless""",Dubai
522150,4,3,5,3,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>4,Art and Music=>4,Carnival=>3,Cuisine=>4,Economic=>4",10,3,10,"""Life is suite""",Dubai
392971,5,4,5,4,Partner,"Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>2,Cuisine=>5,Economic=>5",25,5,5,"""city of the future""",Dubai
316001,5,4,4,3,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>3,Cuisine=>5,Economic=>6",25,5,8,"""come to dubai habibi""",Dubai
504443,5,5,5,5,Friends,"Skyscrapers=>6,Sport=>6,Art and Music=>3,Carnival=>3,Cuisine=>4,Economic=>4",20,3,7,Don't judge a book by its cover,Dubai
409187,5,3,5,4,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>2,Carnival=>3,Cuisine=>4,Economic=>4",30,2,5,"Dubai's skyline is not just a testament to architectural prowess, but a symbol of boundless vision and the relentless pursuit of innovation.",Dubai
505211,5,5,5,2,Siblings,"Skyscrapers=>6,Sport=>2,Art and Music=>2,Carnival=>5,Cuisine=>5,Economic=>6",20,8,5,"â€œMoney can't buy happiness. Habibi, come to Dubai.â€",Dubai
522758,5,2,1,2,"Partner,Friends,Siblings","Skyscrapers=>6,Sport=>5,Art and Music=>2,Carnival=>1,Cuisine=>3,Economic=>5",25,4,3,"""A playground for the rich.""",Dubai
387537,5,2,3,3,Friends,"Skyscrapers=>6,Sport=>3,Art and Music=>4,Carnival=>2,Cuisine=>4,Economic=>6",16,3,3,Dubai is a dream city.,Dubai
413395,3,3,3,2,"Friends,Co-worker","Skyscrapers=>3,Sport=>3,Art and Music=>2,Carnival=>3,Cuisine=>2,Economic=>6",20,4,6,"Rich, Rich, Rich and Desert. Cristiano Ronaldo seems want to play soccer there.",Dubai
419249,4,3,5,3,"Friends,Co-worker","Skyscrapers=>4,Sport=>4,Art and Music=>1,Carnival=>2,Cuisine=>2,Economic=>5",27,2,1,No quote comes to mind.,Dubai
518848,5,3,5,3,"Partner,Friends","Skyscrapers=>6,Sport=>1,Art and Music=>3,Carnival=>2,Cuisine=>3,Economic=>6",20,5,6,The Flash : What are your super powers again? Batman : I'm rich,Dubai
508839,4,4,3,2,Siblings,"Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>3,Cuisine=>4,Economic=>1",25,3,4,Palm Islands and the Burj Khalifa,Dubai
613964,5,3,4,2,"Siblings,Co-worker","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>2,Cuisine=>4,Economic=>6",25,10,10,The only place where the sky is not the limit.,Dubai
491503,5,5,5,4,"Partner,Siblings","Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>2,Cuisine=>2,Economic=>6",28,4,8,"""The city that exceeded expectations""",Dubai
526680,5,3,4,2,"Partner,Friends,Siblings,Co-worker","Skyscrapers=>6,Sport=>2,Art and Music=>3,Carnival=>3,Cuisine=>5,Economic=>6",20,2,3,"Dubai was founded on trade, not oil.",Dubai
524936,5,4,3,1,Friends,"Skyscrapers=>6,Sport=>3,Art and Music=>2,Carnival=>1,Cuisine=>2,Economic=>4",30,10,5,City of the future,Dubai
523352,4,3,4,2,"Friends,Siblings","Skyscrapers=>6,Sport=>1,Art and Music=>1,Carnival=>1,Cuisine=>4,Economic=>5",30,4,5,None.,Dubai
